date,title,link
2021-05-18 16:00:00,Elon Musk's New Tesla Plant Runs Into Germany's 'Bureaucratic Hell',https://www.forbes.com/sites/alanohnsman/2021/05/18/the-rules-even-tesla-berlin-gigafactory-elon-musk-cant-break/
2021-05-18 14:25:11.512000,Philippine Tycoon Consunji’s DMCI Sees Strong Earnings Recovery This Year,https://www.forbes.com/sites/jonathanburgos/2021/05/18/philippine-tycoon-consunjis-dmci-sees-strong-earnings-recovery-this-year/
2021-05-18 04:53:56.367000,5 Things We Learned From Vice President Kamala Harris’ New Tax Returns And Financial Disclosure,https://www.forbes.com/sites/michelatindera/2021/05/17/5-things-we-learned-from-vice-president-kamala-harris-new-tax-returns-and-financial-disclosure/
2021-05-18 03:41:18.550000,5 Things We Learned From Joe Biden’s New Tax Returns And Financial Disclosure,https://www.forbes.com/sites/michelatindera/2021/05/17/5-things-we-learned-from-joe-bidens-new-tax-returns-and-financial-disclosure/
2021-05-18 00:24:32.431000,Clover Projects It Will Have Only Half The Medicare Members It Promised Investors Before IPO,https://www.forbes.com/sites/katiejennings/2021/05/17/clover-health-expects-slower-medicare-member-growth-and-lower-revenue-than-previously-projected/
2021-05-17 17:00:00,Inside Hyundai’s $7.4 Billion U.S. Investment: Electric Vehicles And Hydrogen Stations,https://www.forbes.com/sites/ralphjennings/2021/05/17/inside-hyundais-74-billion-us-investment-electric-vehicles-and-hydrogen-stations/
2021-05-17 11:50:00,Aussie Billionaire James Packer’s Crown Rejects Blackstone’s $6.5 Billion Offer,https://www.forbes.com/sites/jonathanburgos/2021/05/17/aussie-billionaire-james-packers-crown-rejects-blackstones-65-billion-offer/
2021-05-17 06:29:55.983000,‘Now Is A Great Time To Be Investing In China’: Avenue Capital Group CEO Mark Lasry,https://www.forbes.com/sites/russellflannery/2021/05/16/now-is-a-great-time-to-be-investing-in-china-avenue-capital-group-ceo-mark-lasry/
2021-05-16 15:17:31.856000,Archegos Sparks Family Office Feud Among Their Billionaire Owners,https://www.forbes.com/sites/oliverwilliams1/2021/05/16/archegos-sparks-family-office-feud-among-their-billionaire-owners/
2021-05-15 01:41:28.256000,Meet The New Billionaires Who Got Rich Fighting COVID,https://www.forbes.com/video/6254108234001/
